from,to
22032,22032
22032,35940
22032,37378
22032,4162
22032,28236
22032,6675
22032,24925
22032,30083
22032,33855
22032,5804
22032,37358
22032,35236
22032,11769
22032,26464
22032,38419
22032,11713
22032,6566
22032,11019
22032,7907
22032,32256
22032,1206
22032,28588
22032,16843
22032,19107
22032,36299
22032,17249
22032,19544
22032,13452
22032,21455
22032,10751
22032,36023
22032,27727
22032,27784
22032,22480
22032,36125
22032,27370
22032,32483
22032,22883
22032,18744
22032,11870
22032,5878
22032,6682
22032,10048
22032,13562
22032,14093
22032,14460
22032,26844
22032,18591
22032,1681
22032,29739
22032,7098
22032,36640
22032,12970
22032,27710
22032,16136
22032,37437
22032,35353
22032,4078
35940,22032
35940,35940
35940,37378
35940,4162
35940,28236
35940,6675
35940,24925
35940,30083
35940,33855
35940,5804
35940,37358
35940,35236
35940,11769
35940,26464
35940,38419
35940,11713
35940,6566
35940,11019
35940,7907
35940,32256
35940,1206
35940,28588
35940,16843
35940,19107
35940,36299
35940,17249
35940,19544
35940,13452
35940,21455
35940,10751
35940,36023
35940,27727
35940,27784
35940,22480
35940,36125
35940,27370
35940,32483
35940,22883
35940,18744
35940,11870
35940,5878
35940,6682
35940,10048
35940,13562
35940,14093
35940,14460
35940,26844
35940,18591
35940,1681
35940,29739
35940,7098
35940,36640
35940,12970
35940,27710
35940,16136
35940,37437
35940,35353
35940,4078
37378,22032
37378,35940
37378,37378
37378,4162
37378,28236
37378,6675
37378,24925
37378,30083
37378,33855
37378,5804
37378,37358
37378,35236
37378,11769
37378,26464
37378,38419
37378,11713
37378,6566
37378,11019
37378,7907
37378,32256
37378,1206
37378,28588
37378,16843
37378,19107
37378,36299
37378,17249
37378,19544
37378,13452
37378,21455
37378,10751
37378,36023
37378,27727
37378,27784
37378,22480
37378,36125
37378,27370
37378,32483
37378,22883
37378,18744
37378,11870
37378,5878
37378,6682
37378,10048
37378,13562
37378,14093
37378,14460
37378,26844
37378,18591
37378,1681
37378,29739
37378,7098
37378,36640
37378,12970
37378,27710
37378,16136
37378,37437
37378,35353
37378,4078
4162,22032
4162,35940
4162,37378
4162,4162
4162,28236
4162,6675
4162,24925
4162,30083
4162,33855
4162,5804
4162,37358
4162,35236
4162,11769
4162,26464
4162,38419
4162,11713
4162,6566
4162,11019
4162,7907
4162,32256
4162,1206
4162,28588
4162,16843
4162,19107
4162,36299
4162,17249
4162,19544
4162,13452
4162,21455
4162,10751
4162,36023
4162,27727
4162,27784
4162,22480
4162,36125
4162,27370
4162,32483
4162,22883
4162,18744
4162,11870
4162,5878
4162,6682
4162,10048
4162,13562
4162,14093
4162,14460
4162,26844
4162,18591
4162,1681
4162,29739
4162,7098
4162,36640
4162,12970
4162,27710
4162,16136
4162,37437
4162,35353
4162,4078
28236,22032
28236,35940
28236,37378
28236,4162
28236,28236
28236,6675
28236,24925
28236,30083
28236,33855
28236,5804
28236,37358
28236,35236
28236,11769
28236,26464
28236,38419
28236,11713
28236,6566
28236,11019
28236,7907
28236,32256
28236,1206
28236,28588
28236,16843
28236,19107
28236,36299
28236,17249
28236,19544
28236,13452
28236,21455
28236,10751
28236,36023
28236,27727
28236,27784
28236,22480
28236,36125
28236,27370
28236,32483
28236,22883
28236,18744
28236,11870
28236,5878
28236,6682
28236,10048
28236,13562
28236,14093
28236,14460
28236,26844
28236,18591
28236,1681
28236,29739
28236,7098
28236,36640
28236,12970
28236,27710
28236,16136
28236,37437
28236,35353
28236,4078
6675,22032
6675,35940
6675,37378
6675,4162
6675,28236
6675,6675
6675,24925
6675,30083
6675,33855
6675,5804
6675,37358
6675,35236
6675,11769
6675,26464
6675,38419
6675,11713
6675,6566
6675,11019
6675,7907
6675,32256
6675,1206
6675,28588
6675,16843
6675,19107
6675,36299
6675,17249
6675,19544
6675,13452
6675,21455
6675,10751
6675,36023
6675,27727
6675,27784
6675,22480
6675,36125
6675,27370
6675,32483
6675,22883
6675,18744
6675,11870
6675,5878
6675,6682
6675,10048
6675,13562
6675,14093
6675,14460
6675,26844
6675,18591
6675,1681
6675,29739
6675,7098
6675,36640
6675,12970
6675,27710
6675,16136
6675,37437
6675,35353
6675,4078
24925,22032
24925,35940
24925,37378
24925,4162
24925,28236
24925,6675
24925,24925
24925,30083
24925,33855
24925,5804
24925,37358
24925,35236
24925,11769
24925,26464
24925,38419
24925,11713
24925,6566
24925,11019
24925,7907
24925,32256
24925,1206
24925,28588
24925,16843
24925,19107
24925,36299
24925,17249
24925,19544
24925,13452
24925,21455
24925,10751
24925,36023
24925,27727
24925,27784
24925,22480
24925,36125
24925,27370
24925,32483
24925,22883
24925,18744
24925,11870
24925,5878
24925,6682
24925,10048
24925,13562
24925,14093
24925,14460
24925,26844
24925,18591
24925,1681
24925,29739
24925,7098
24925,36640
24925,12970
24925,27710
24925,16136
24925,37437
24925,35353
24925,4078
30083,22032
30083,35940
30083,37378
30083,4162
30083,28236
30083,6675
30083,24925
30083,30083
30083,33855
